
="2010.competition_year",="",="",="148.4***"
="",="",="",="(47.40)"

="2011.competition_year",="",="",="129.0***"
="",="",="",="(40.96)"

="2012.competition_year",="",="",="-44.76***"
="",="",="",="(-12.15)"

="2013.competition_year",="",="",="-42.96***"
="",="",="",="(-11.69)"

="2014.competition_year",="",="",="219.2***"
="",="",="",="(69.97)"

="2015.competition_year",="",="",="223.5***"
="",="",="",="(69.76)"

="_cons",="458.7***",="526.0***",="466.1***"
="",="(500.79)",="(8.25)",="(8.22)"

="N",="62829",="62829",="62829"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
